nome,sexo,data_nascimento,serie,nota_bim1,nota_bim2,nota_bim3,nota_bim4
Mariana Moreira,F,2008-10-26,1º EM,3.5,3.4,6.0,0.3
Ana Pereira,M,2009-11-17,1º EM,2.7,5.7,9.7,3.8
Gustavo Ribeiro,,2006-09-14,7º Ano,1.7,9.3,7.1,2.0
Carlos Silva,F,2013-12-25,2º EM,9.1,8.6,0.6,6.6
Aline Costa,M,2006-02-04,1º EM,1.7,5.9,2.9,6.1
Juliana Gomes,F,2007-01-09,7º Ano,8.4,,9.0,2.2
Rafael Souza,M,2010-01-21,6º Ano,1.7,3.9,2.9,0.2
Carlos Costa,F,2005-07-01,,5.0,8.2,0.5,6.5
Felipe Rocha,F,2007-08-18,1º EM,2.2,4.1,0.2,9.5
Aline Costa,M,2012-08-20,1º EM,9.9,2.8,3.4,1.1
Maria Ferreira,M,2012-10-04,6º Ano,3.5,6.8,4.6,4.7
Felipe Melo,F,2006-09-03,3º EM,1.1,4.9,8.5,4.3
Ana Ferreira,M,2006-10-28,,,,5.6,0.2
Rodrigo Rocha,M,2008-07-20,1º EM,1.2,7.5,5.7,0.8
Gustavo Silva,M,2012-04-29,9º Ano,8.9,8.9,,5.6
Felipe Almeida,F,2007-04-12,6º Ano,4.1,3.1,0.6,6.4
Ana Carvalho,F,2008-05-15,3º EM,2.6,5.8,5.9,6.3
Ana Santos,F,2010-05-21,2º EM,2.1,6.6,2.0,2.4
Fernanda Rocha,M,2005-07-09,7º Ano,,4.7,5.0,7.2
Rafael Carvalho,M,2011-11-15,9º Ano,0.5,2.9,1.1,2.7
Maria Ribeiro,,2005-11-12,3º EM,9.0,8.7,6.6,6.7
Fernanda Araújo,M,2010-04-27,6º Ano,,8.4,7.5,7.6
Rafael Martins,F,2011-02-14,1º EM,0.5,8.4,8.1,7.5
João Almeida,M,,2º EM,2.9,8.4,1.6,
Ana Ribeiro,,2012-09-22,3º EM,2.9,9.0,7.1,4.9
Carlos Gomes,F,2013-11-17,3º EM,6.2,3.0,6.5,6.0
Ana Barbosa,F,2012-10-04,1º EM,3.4,5.9,4.1,4.1
Fernanda Lima,M,2012-04-16,2º EM,8.6,6.4,6.7,6.9
Pedro Gomes,F,2009-02-18,9º Ano,4.1,6.8,9.8,0.5
Mariana Ribeiro,M,2013-04-03,7º Ano,9.9,6.8,0.2,6.8
Aline Silva,M,2012-12-26,7º Ano,6.4,0.7,1.9,1.3
Juliana Barbosa,F,2009-04-21,3º EM,8.4,,9.5,0.6
Pedro Rocha,,2007-05-01,2º EM,2.7,1.5,2.2,1.4
Beatriz Almeida,F,2005-12-06,1º EM,6.8,6.2,1.7,4.7
Fernanda Teixeira,M,2013-04-28,2º EM,9.4,,6.5,2.7
Felipe Melo,M,2007-08-07,8º Ano,1.1,,8.5,4.5
Larissa Souza,F,2007-07-28,2º EM,2.9,0.7,9.0,9.1
Rafael Dias,M,2013-03-25,1º EM,,5.3,,8.1
,M,2007-04-09,2º EM,0.2,,9.4,7.2
Bruno Souza,M,2009-07-23,7º Ano,9.4,6.8,4.3,1.1
Diego Costa,,2005-03-31,6º Ano,6.5,,3.2,8.2
Lucas Pereira,F,2012-02-10,1º EM,1.1,6.3,9.0,0.7
Patricia Ribeiro,F,2009-11-23,9º Ano,6.5,9.0,7.1,3.3
Carlos Almeida,F,2010-11-27,8º Ano,2.9,9.6,8.5,2.3
Camila Carvalho,M,2011-12-06,6º Ano,7.7,9.8,7.8,9.7
Juliana Silva,M,2009-12-19,6º Ano,0.6,7.6,6.4,4.6
Ana Gomes,F,2009-10-28,3º EM,,8.2,5.8,0.5
Rafael Carvalho,F,2011-07-20,2º EM,0.8,3.2,2.4,8.6
Larissa Moreira,M,2010-09-18,2º EM,7.3,3.0,9.6,1.8
João Barbosa,F,2013-08-06,7º Ano,7.4,8.7,,0.0
Pedro Martins,M,2008-06-02,3º EM,,5.4,4.1,9.1
Camila Melo,M,2013-01-24,6º Ano,,7.4,0.3,9.1
Fernanda Ribeiro,F,2012-03-12,9º Ano,6.0,9.3,3.7,9.6
Ana Moreira,F,2008-10-05,7º Ano,3.7,8.1,1.7,4.5
Gustavo Ferreira,M,2013-06-21,6º Ano,7.3,6.9,8.1,0.5
Felipe Lima,M,2009-12-06,7º Ano,,7.6,5.1,3.1
Gustavo Rocha,M,2006-11-06,3º EM,4.7,2.3,,1.9
Beatriz Lima,M,2012-01-13,9º Ano,4.0,,8.2,9.2
Bruno Dias,M,2009-05-02,7º Ano,2.1,9.4,9.6,1.1
Beatriz Pereira,F,2009-03-13,9º Ano,2.0,6.8,6.9,0.0
Lucas Lima,M,2012-11-28,8º Ano,4.7,2.1,3.6,7.9
,F,2009-03-25,,1.6,2.5,9.7,2.8
Gustavo Moreira,M,2005-04-06,8º Ano,7.8,1.5,,8.9
Lucas Souza,M,,2º EM,3.3,8.0,6.9,8.1
Fernanda Dias,,2010-06-23,1º EM,0.5,7.6,2.1,6.7
Camila Costa,F,2011-04-30,3º EM,,1.5,1.5,4.1
Juliana Martins,F,2013-06-21,2º EM,7.9,3.4,4.1,4.7
Bruno Ferreira,M,2009-03-22,3º EM,1.9,4.8,0.8,7.3
Beatriz Melo,F,2008-08-01,1º EM,2.0,7.6,9.6,1.2
Diego Ferreira,M,2013-08-07,8º Ano,6.6,1.7,5.4,7.7
João Costa,F,2012-08-13,8º Ano,9.1,6.9,1.3,2.1
Felipe Santos,M,2005-07-31,9º Ano,0.6,5.1,3.0,7.1
Pedro Araújo,M,2013-01-22,7º Ano,8.7,2.7,1.6,3.3
Ana Araújo,M,2008-09-23,8º Ano,4.8,1.1,5.9,1.0
Patricia Carvalho,F,2007-01-04,1º EM,1.1,7.8,7.8,9.7
Juliana Ribeiro,F,2010-08-12,9º Ano,1.9,5.7,4.3,3.6
Felipe Almeida,M,2005-06-08,9º Ano,2.3,8.1,5.6,2.0
Beatriz Martins,F,2011-07-29,3º EM,6.8,3.5,5.3,7.8
Mariana Teixeira,M,2011-05-03,6º Ano,5.5,5.9,1.0,7.2
Diego Costa,M,2008-06-10,8º Ano,0.8,8.7,1.8,5.0
Aline Santos,F,2008-05-11,1º EM,1.0,,5.9,7.0
Gustavo Araújo,M,2006-05-13,1º EM,7.1,,7.3,7.7
Gustavo Barbosa,F,2006-03-10,6º Ano,0.2,4.8,5.8,9.5
Juliana Teixeira,F,2007-03-31,1º EM,1.2,8.6,9.3,8.5
Bruno Dias,F,2006-01-08,7º Ano,4.5,,8.6,2.0
Camila Moreira,,2006-05-13,3º EM,0.5,7.6,9.0,7.9
Juliana Moreira,M,2009-02-23,8º Ano,9.9,4.3,1.4,5.4
Patricia Martins,M,2006-07-24,9º Ano,,6.7,1.0,9.7
Diego Santos,M,2008-09-14,2º EM,4.3,3.6,1.1,4.3
Beatriz Oliveira,M,2013-05-19,9º Ano,9.8,5.8,9.8,5.4
Juliana Oliveira,F,2011-05-28,1º EM,6.6,4.1,3.5,7.1
Camila Oliveira,M,2010-03-21,9º Ano,8.4,7.0,1.8,8.6
Pedro Teixeira,M,2011-05-22,2º EM,8.5,1.5,0.3,5.8
Diego Moreira,M,2007-09-25,3º EM,0.5,6.2,6.3,9.8
Pedro Ribeiro,F,2011-11-07,8º Ano,4.9,3.7,1.5,7.1
Fernanda Santos,M,2011-01-09,9º Ano,7.0,9.7,1.0,2.5
Ana Rocha,F,2013-04-01,1º EM,4.3,,9.3,8.4
Pedro Costa,F,2012-04-08,2º EM,9.5,4.0,5.3,8.8
Lucas Araújo,F,2013-07-11,3º EM,5.8,4.6,2.5,8.0
Juliana Souza,M,2011-06-15,8º Ano,5.1,1.1,0.7,0.7
Bruno Souza,M,2006-11-10,1º EM,0.8,4.7,2.0,7.8
Felipe Martins,M,2007-09-22,1º EM,7.8,7.6,4.0,9.2
Aline Dias,F,2006-08-01,3º EM,2.2,7.1,10.0,3.1
Ana Oliveira,F,2013-04-18,8º Ano,0.0,8.7,8.3,9.9
Bruno Souza,M,2010-04-22,7º Ano,7.9,8.6,1.6,1.0
Bruno Gomes,F,2009-01-15,8º Ano,7.4,7.0,4.2,2.2
Juliana Ferreira,F,2013-05-25,8º Ano,8.1,4.6,3.6,7.4
Juliana Ribeiro,M,2007-01-23,2º EM,2.6,2.4,8.8,8.7
Lucas Oliveira,M,2006-11-14,7º Ano,5.1,4.0,1.2,9.3
Rodrigo Dias,M,2008-10-08,9º Ano,2.8,1.8,5.7,8.8
Lucas Dias,F,2011-05-20,3º EM,0.5,5.5,,3.6
Bruno Lima,M,2013-05-24,1º EM,5.4,8.0,2.3,8.5
Rafael Rocha,F,2009-06-07,2º EM,7.2,,9.6,7.9
Beatriz Ferreira,F,2010-05-17,2º EM,7.8,1.5,8.6,4.1
Camila Martins,M,2010-05-27,8º Ano,8.4,0.5,0.6,1.4
Beatriz Araújo,M,2007-11-30,1º EM,4.3,3.0,,6.1
Beatriz Almeida,F,2010-06-03,2º EM,0.4,0.9,2.0,2.0
Carlos Araújo,M,2010-08-01,1º EM,7.4,7.8,0.1,7.0
João Martins,F,2005-06-05,9º Ano,0.9,8.4,0.9,6.6
Gustavo Araújo,F,2009-01-07,3º EM,6.8,9.0,1.6,9.2
Bruno Oliveira,M,2010-09-10,2º EM,2.5,9.6,8.2,7.5
Rodrigo Santos,M,2012-09-26,,5.9,8.6,6.9,7.7
Bruno Souza,F,2005-04-24,8º Ano,4.1,1.2,3.2,1.9
Gustavo Rocha,F,2006-01-06,9º Ano,6.4,6.3,0.2,9.7
Beatriz Almeida,M,2005-02-22,1º EM,5.4,7.1,6.4,5.5
Beatriz Rocha,F,2010-10-01,3º EM,7.1,1.8,8.4,7.9
Mariana Santos,M,2010-06-07,8º Ano,2.1,6.0,4.3,4.0
Mariana Ferreira,M,2013-06-03,8º Ano,6.3,6.5,,1.0
Beatriz Moreira,M,2012-06-06,8º Ano,6.6,8.0,5.1,7.0
Aline Silva,F,2010-12-08,3º EM,8.3,0.2,6.9,4.0
Aline Almeida,F,2007-02-24,6º Ano,7.9,5.8,8.2,6.9
Maria Martins,F,2011-01-05,3º EM,5.0,3.3,1.6,7.8
Carlos Gomes,F,2006-05-21,2º EM,2.3,8.6,0.6,9.2
Rafael Ferreira,F,2008-01-02,1º EM,0.1,8.8,8.1,5.3
Rafael Silva,M,2010-12-18,3º EM,5.0,,3.3,5.6
Diego Lima,F,2012-06-24,6º Ano,2.9,7.5,9.8,6.7
Mariana Carvalho,M,2010-04-21,2º EM,5.3,3.6,,3.9
Gustavo Souza,M,2009-01-30,8º Ano,5.2,4.6,6.1,5.8
Gustavo Teixeira,M,2007-06-20,1º EM,1.4,7.7,1.4,6.3
Carlos Araújo,F,2011-11-08,6º Ano,,5.2,3.9,
Larissa Melo,F,2009-04-24,9º Ano,2.0,,,2.2
Gustavo Almeida,M,2010-04-14,9º Ano,3.0,4.9,4.4,8.6
Felipe Ferreira,F,2005-01-21,3º EM,5.5,2.7,4.0,2.7
Camila Oliveira,F,2005-02-21,3º EM,7.3,6.2,6.8,0.5
Fernanda Barbosa,M,2011-05-30,2º EM,9.9,4.3,2.7,3.7
Lucas Martins,F,2011-10-19,9º Ano,0.2,2.2,2.7,8.8
Diego Teixeira,M,2008-09-18,9º Ano,3.9,8.5,9.6,6.2
Aline Lima,M,2007-02-09,,2.8,4.8,3.8,5.1
Carlos Oliveira,M,2011-07-13,6º Ano,1.7,0.4,2.1,5.7
Rafael Dias,M,2013-04-16,2º EM,2.1,9.3,,5.9
Mariana Melo,F,2009-02-22,2º EM,1.2,9.1,6.6,1.3
Gustavo Silva,M,2010-11-26,2º EM,7.7,5.9,0.8,7.5
Felipe Lima,M,2010-10-31,3º EM,1.9,5.1,1.9,3.3
Aline Pereira,F,2009-09-14,7º Ano,6.4,5.8,9.2,2.7
João Oliveira,F,2007-06-15,1º EM,9.2,7.0,7.6,4.7
Felipe Pereira,M,2011-09-07,1º EM,3.2,5.1,1.5,7.6
Larissa Lima,M,2007-08-25,8º Ano,3.2,4.6,1.4,3.7
Ana Moreira,F,2013-02-22,8º Ano,0.0,8.0,9.3,5.9
Rafael Barbosa,M,2007-09-16,7º Ano,9.1,2.8,6.6,0.5
Juliana Santos,M,,8º Ano,8.5,7.9,3.0,6.1
Aline Ribeiro,M,2009-12-18,9º Ano,3.2,2.7,9.3,1.4
Rafael Ribeiro,F,2005-03-31,6º Ano,1.4,5.7,,7.8
Juliana Silva,F,2012-10-09,3º EM,6.3,4.5,3.4,5.6
Diego Araújo,Masculino,2005-01-25,3º EM,2.3,9.1,7.4,4.0
Beatriz Araújo,M,2013-02-03,7º Ano,1.9,5.1,1.0,6.2
Mariana Ferreira,F,2007-04-02,2º EM,5.0,0.1,9.0,8.8
Mariana Santos,M,2006-09-20,7º Ano,9.9,6.3,8.4,2.5
Beatriz Santos,M,2010-07-16,6º Ano,9.8,5.9,4.1,6.8
Carlos Rocha,M,2007-05-01,8º Ano,4.2,3.2,6.9,4.2
Fernanda Oliveira,M,2011-01-26,1º EM,1.6,3.3,8.0,3.4
Camila Moreira,M,2012-10-08,9º Ano,8.8,,1.5,7.3
Camila Dias,F,2006-12-09,1º EM,6.3,9.4,4.2,6.9
Mariana Pereira,M,2008-11-12,8º Ano,7.6,7.7,8.9,2.1
Aline Barbosa,M,2012-05-11,2º EM,4.3,9.6,8.4,8.4
Fernanda Barbosa,M,2013-04-07,9º Ano,8.8,3.1,9.7,1.5
Aline Moreira,F,2009-10-15,9º Ano,3.4,5.1,1.9,2.0
Beatriz Pereira,M,2011-08-30,9º Ano,6.0,2.7,8.7,8.2
Beatriz Gomes,M,2006-12-02,9º Ano,5.2,9.5,7.7,9.8
João Barbosa,F,2012-01-29,3º EM,3.4,,6.1,6.2
Fernanda Lima,F,2008-10-31,3º EM,6.7,6.7,,0.3
Gustavo Gomes,F,2012-11-13,9º Ano,6.7,6.0,7.8,4.6
Felipe Moreira,M,2008-08-21,3º EM,2.7,4.1,2.4,5.8
Larissa Costa,M,2005-12-08,2º EM,7.1,2.2,1.1,7.0
João Lima,M,2005-07-24,2º EM,8.1,4.7,0.4,4.3
Camila Carvalho,F,2010-10-17,6º Ano,0.9,7.7,5.9,7.2
Rodrigo Oliveira,M,2010-06-11,9º Ano,0.8,2.2,6.2,5.9
João Oliveira,M,2010-04-11,8º Ano,,5.0,6.7,1.4
Camila Pereira,F,2008-04-01,6º Ano,4.2,1.2,,6.5
Rodrigo Carvalho,F,2013-03-10,9º Ano,7.9,2.2,2.9,5.0
Maria Gomes,M,2005-08-09,7º Ano,5.7,9.4,7.5,1.1
João Silva,F,2012-01-05,7º Ano,,8.4,7.9,8.2
Camila Ribeiro,F,2008-09-06,9º Ano,8.8,6.4,1.1,1.9
Mariana Costa,,2006-05-29,2º EM,6.9,9.1,0.1,7.3
Camila Santos,M,2009-01-30,7º Ano,4.2,,8.1,7.6
Camila Teixeira,M,2013-01-17,2º EM,9.0,,2.0,5.9
Fernanda Costa,M,2005-06-12,7º Ano,1.0,3.5,5.5,9.9
Rafael Melo,M,2005-07-26,6º Ano,6.3,6.5,5.7,9.6
Gustavo Ribeiro,M,2009-01-30,1º EM,1.8,8.8,1.8,2.2
Maria Oliveira,M,2010-02-12,3º EM,6.4,7.8,1.7,6.0
Lucas Martins,M,2005-01-19,2º EM,8.2,2.1,8.9,8.8
Felipe Oliveira,F,2011-06-19,7º Ano,9.1,4.3,6.1,7.1
Beatriz Santos,M,2012-01-09,3º EM,7.1,7.9,,0.3
Mariana Souza,F,2009-09-04,3º EM,6.9,5.7,4.1,2.8
Camila Melo,M,2010-06-04,2º EM,2.6,1.2,7.0,9.4
Carlos Moreira,M,2006-04-18,2º EM,3.5,6.6,8.7,5.0
Juliana Moreira,F,2013-09-01,6º Ano,3.4,8.4,6.8,1.4
Larissa Melo,F,2007-10-08,6º Ano,2.8,2.3,9.1,2.9
Rodrigo Teixeira,M,2011-05-17,3º EM,1.8,4.4,4.2,5.9
Lucas Almeida,M,2006-09-27,8º Ano,5.0,1.6,7.8,1.5
Camila Oliveira,M,2013-02-17,7º Ano,5.6,1.2,5.3,5.0
João Gomes,F,2012-02-20,3º EM,1.6,7.9,,2.4
Mariana Rocha,M,2010-03-08,3º EM,9.5,6.2,2.1,4.0
Aline Moreira,M,2013-03-10,1º EM,8.9,7.2,0.1,0.3
Patricia Pereira,M,2013-01-20,3º EM,5.1,6.8,9.3,4.1
Felipe Teixeira,F,2009-01-03,7º Ano,5.0,3.7,5.1,2.6
Carlos Ribeiro,F,2007-07-02,7º Ano,0.8,5.0,3.5,5.1
Maria Souza,F,2008-03-23,9º Ano,0.6,6.3,4.4,8.3
Beatriz Ribeiro,M,2012-02-15,8º Ano,2.7,3.6,0.4,0.8
Maria Oliveira,M,2011-11-01,7º Ano,2.5,2.5,6.2,8.7
Felipe Souza,M,2005-02-02,2º EM,0.8,7.3,6.4,5.3
Felipe Barbosa,M,,3º EM,7.5,7.7,0.8,0.5
Lucas Barbosa,F,2013-04-20,2º EM,2.4,4.8,0.3,3.6
Juliana Barbosa,M,2013-07-07,2º EM,5.0,4.4,7.5,5.5
Maria Souza,M,2011-07-26,6º Ano,5.7,4.0,,9.6
Rafael Costa,F,2009-01-01,9º Ano,0.2,0.5,6.4,6.4
Lucas Gomes,F,2007-02-14,8º Ano,5.8,5.2,5.0,8.7
Mariana Barbosa,M,2009-03-18,2º EM,5.4,8.2,9.3,9.9
Pedro Souza,M,2008-04-29,6º Ano,0.0,7.9,6.6,5.1
Beatriz Martins,F,2009-10-16,6º Ano,6.1,4.1,1.2,6.9
Fernanda Ribeiro,M,2008-03-27,8º Ano,8.1,0.0,2.8,1.9
Fernanda Ferreira,M,2006-03-07,8º Ano,2.0,8.1,3.5,7.9
Rodrigo Lima,M,2013-12-19,1º EM,0.2,,7.2,9.0
Diego Carvalho,M,2011-04-24,9º Ano,4.2,7.8,3.2,
Fernanda Teixeira,F,2011-12-15,2º EM,6.0,7.3,4.9,9.8
,F,2006-08-03,6º Ano,7.5,4.7,1.2,2.6
Ana Ferreira,M,2009-04-11,1º EM,,1.3,0.5,6.9
Aline Araújo,M,2008-11-27,9º Ano,,8.4,9.9,2.0
Felipe Ferreira,M,2012-06-17,9º Ano,3.1,2.7,6.8,6.2
Carlos Ferreira,M,2006-10-04,1º EM,9.1,1.5,1.1,1.1
Diego Gomes,F,2013-08-04,3º EM,1.6,8.7,9.8,8.8
Mariana Silva,F,2013-06-08,8º Ano,0.2,2.0,5.5,7.0
Rafael Rocha,F,2008-12-21,3º EM,4.5,1.4,1.8,3.0
Mariana Moreira,F,2008-12-29,7º Ano,0.2,8.0,6.9,5.3
Ana Rocha,M,2011-04-20,6º Ano,5.5,7.6,5.5,8.6
Maria Moreira,F,2013-06-11,3º EM,5.4,0.7,9.2,7.6
Diego Souza,F,2011-10-24,1º EM,2.8,1.7,1.6,7.3
Gustavo Oliveira,F,2011-10-19,1º EM,9.8,6.3,9.4,4.9
Juliana Ferreira,F,2013-01-31,9º Ano,2.7,8.1,5.2,
Ana Souza,M,2008-06-17,8º Ano,4.1,7.0,0.5,2.8
Maria Carvalho,M,2005-01-28,7º Ano,0.3,,7.9,3.8
Gustavo Oliveira,M,2011-03-04,2º EM,5.4,8.5,1.9,7.5
Aline Santos,F,2011-03-01,8º Ano,0.8,2.1,6.7,6.1
Carlos Araújo,F,2012-12-04,3º EM,1.9,3.8,7.1,2.2
Patricia Martins,F,2005-01-09,9º Ano,0.6,0.5,9.7,2.1
Patricia Ribeiro,F,2009-07-12,2º EM,2.1,4.3,,3.9
Beatriz Gomes,F,2008-07-17,3º EM,5.8,1.3,6.5,2.6
Juliana Melo,F,2011-05-17,8º Ano,7.1,9.3,9.5,7.2
João Teixeira,M,2009-10-25,7º Ano,4.6,3.6,8.5,0.7
Rafael Souza,F,2007-02-24,2º EM,9.1,6.2,,0.8
Rafael Almeida,F,,8º Ano,2.4,5.4,6.5,3.9
Felipe Melo,M,2005-03-30,6º Ano,,6.5,7.6,7.3
Larissa Santos,M,2006-11-20,3º EM,5.0,4.0,2.3,6.8
Gustavo Martins,F,2013-03-05,3º EM,8.6,2.1,3.1,
Lucas Lima,F,2006-01-03,3º EM,5.5,1.2,2.3,4.2
Mariana Almeida,F,2013-07-05,3º EM,3.9,4.5,5.0,7.6
Ana Martins,F,2008-01-26,6º Ano,4.2,1.3,1.4,3.6
Diego Teixeira,F,2006-09-12,3º EM,0.8,3.8,3.9,5.8
Aline Dias,M,2011-04-11,7º Ano,0.4,3.3,4.3,5.2
Felipe Carvalho,F,2007-02-08,7º Ano,3.7,8.4,8.0,5.1
Larissa Teixeira,M,2013-03-03,3º EM,4.1,6.1,0.3,9.3
Maria Rocha,M,2013-08-03,7º Ano,5.4,1.5,3.3,6.6
Lucas Almeida,M,2006-01-08,3º EM,4.4,,3.7,8.8
Beatriz Dias,F,2008-02-06,3º EM,8.8,9.8,9.1,4.9
Felipe Rocha,F,2011-03-10,8º Ano,8.0,1.7,9.1,9.6
Aline Ribeiro,M,2011-12-28,9º Ano,3.3,,1.8,4.0
Bruno Lima,F,2007-05-16,9º Ano,6.7,3.5,6.0,7.5
Felipe Gomes,F,2008-01-21,,2.5,6.6,9.5,6.8
Fernanda Gomes,M,2010-10-08,8º Ano,1.2,1.7,8.6,10.0
Carlos Souza,M,2009-03-14,7º Ano,8.8,0.5,6.8,2.8
Patricia Silva,M,2009-02-07,9º Ano,4.7,1.5,5.1,7.4
Felipe Lima,M,2007-07-12,8º Ano,7.2,6.7,6.9,2.0
Diego Martins,M,2006-01-29,2º EM,2.3,9.8,3.7,8.1
Ana Silva,M,2009-10-28,6º Ano,2.1,2.6,4.4,3.1
Lucas Costa,F,2008-01-21,7º Ano,4.1,7.0,2.6,1.9
Pedro Gomes,F,2007-02-14,7º Ano,9.7,2.9,8.2,2.3
Rafael Moreira,F,2008-01-05,3º EM,2.9,6.2,1.6,6.4
Lucas Silva,F,2006-04-07,9º Ano,4.4,6.1,4.1,
Diego Souza,F,2012-08-30,7º Ano,6.7,5.4,4.3,2.1
João Almeida,M,2008-05-18,9º Ano,3.9,7.8,6.6,7.2
Beatriz Barbosa,M,2009-06-16,2º EM,3.2,3.7,2.2,2.8
Juliana Moreira,,2011-03-07,7º Ano,6.8,4.9,0.7,2.7
Beatriz Moreira,M,2007-05-13,2º EM,3.9,9.2,4.3,0.1
Felipe Pereira,F,2011-05-12,9º Ano,1.7,5.1,1.2,5.3
Aline Ferreira,F,2005-07-12,8º Ano,9.5,3.6,6.3,
Pedro Pereira,M,,3º EM,4.7,1.4,8.5,8.9
Mariana Silva,M,2005-11-13,7º Ano,1.1,2.0,5.1,6.9
Rafael Ribeiro,F,2011-11-09,8º Ano,7.2,0.4,4.5,5.7
Maria Melo,M,2010-01-24,8º Ano,9.4,3.3,1.9,1.2
Felipe Moreira,,2012-05-18,9º Ano,9.9,3.1,8.9,1.2
Maria Dias,F,2009-06-07,7º Ano,4.0,7.6,2.6,3.5
Juliana Silva,F,2007-04-19,6º Ano,3.7,1.3,7.4,0.4
Rodrigo Santos,M,2006-12-15,7º Ano,1.1,3.6,9.4,1.1
Mariana Santos,F,2012-12-25,7º Ano,9.2,3.4,5.8,8.0
Beatriz Carvalho,F,2011-11-29,6º Ano,8.5,3.1,1.6,9.7
Patricia Teixeira,M,2010-01-03,9º Ano,6.9,1.7,,9.2
Rodrigo Rocha,M,2009-05-09,7º Ano,1.8,5.0,8.5,
Felipe Carvalho,M,2013-05-26,2º EM,,0.7,3.2,2.9
Fernanda Souza,F,2012-05-03,9º Ano,2.6,3.9,1.4,7.4
Diego Oliveira,F,2007-03-05,2º EM,7.5,1.9,3.5,5.1
Pedro Martins,M,2009-08-13,1º EM,1.9,2.4,3.5,7.6
Rafael Martins,F,2008-04-15,6º Ano,8.3,3.3,2.9,1.2
Larissa Ribeiro,M,2010-09-16,8º Ano,,8.1,2.6,9.1
Aline Martins,F,2009-05-03,6º Ano,3.1,0.7,5.6,5.7
Larissa Teixeira,F,2006-03-20,7º Ano,4.2,1.5,8.9,
Carlos Teixeira,M,2011-09-30,7º Ano,1.6,7.6,8.4,4.6
Diego Silva,M,2009-05-18,1º EM,7.7,7.6,7.2,1.2
Diego Ferreira,M,2007-09-29,3º EM,0.8,4.2,4.5,9.2
Felipe Ribeiro,F,2008-04-12,8º Ano,0.3,2.8,7.6,8.9
Beatriz Dias,M,2012-09-10,7º Ano,0.2,9.0,8.8,3.9
Diego Martins,F,2012-07-31,6º Ano,6.3,0.8,2.5,0.2
Pedro Pereira,F,2006-06-05,7º Ano,1.1,8.0,0.9,1.8
Ana Almeida,F,2010-08-16,3º EM,0.1,7.5,1.7,1.3
Rafael Lima,F,2010-10-08,8º Ano,7.6,3.1,,
Gustavo Martins,F,2011-05-08,7º Ano,9.7,2.1,8.7,6.5
Beatriz Teixeira,M,2010-08-16,9º Ano,0.2,9.5,9.4,8.6
Fernanda Lima,M,2013-11-11,1º EM,6.7,7.7,1.9,4.0
Lucas Moreira,F,2011-03-12,7º Ano,8.2,6.8,1.0,5.1
Maria Almeida,F,2006-10-27,9º Ano,0.1,3.0,4.9,10.0
Camila Silva,M,2006-02-02,1º EM,5.0,1.7,8.4,5.7
,F,2007-11-30,9º Ano,6.9,7.6,5.6,7.2
Lucas Almeida,M,2012-04-25,2º EM,8.6,1.2,5.0,6.9
Bruno Araújo,M,2009-12-27,9º Ano,4.6,5.9,,5.0
Pedro Carvalho,M,2005-11-23,9º Ano,10.0,9.3,8.5,4.2
Rafael Moreira,F,2008-11-16,6º Ano,5.4,1.0,6.2,
Felipe Costa,F,2013-09-17,7º Ano,7.1,4.4,8.1,1.1
Aline Ferreira,F,2011-06-11,9º Ano,8.3,1.6,7.8,9.9
Pedro Gomes,F,2010-02-23,8º Ano,0.8,6.1,2.2,2.5
Patricia Souza,M,2007-02-27,9º Ano,6.6,4.8,6.3,9.5
Fernanda Dias,M,2007-09-23,6º Ano,1.1,8.7,0.8,
Camila Gomes,F,2007-09-01,7º Ano,7.6,3.9,0.5,3.2
Camila Souza,F,2011-10-18,6º Ano,5.9,9.9,9.8,6.8
Bruno Pereira,F,2005-07-28,3º EM,8.4,0.3,9.3,3.9
Juliana Souza,M,2005-02-09,1º EM,1.0,7.5,1.4,7.4
Carlos Lima,F,2007-11-04,9º Ano,7.3,1.6,1.9,
Maria Almeida,M,2010-05-03,6º Ano,6.9,4.2,4.9,6.7
Pedro Rocha,F,2012-12-12,2º EM,4.7,,6.8,6.0
Gustavo Silva,F,2006-08-10,3º EM,4.9,3.5,8.9,5.4
Lucas Martins,M,2013-01-25,8º Ano,0.7,4.9,2.2,9.4
Camila Santos,M,2007-08-11,6º Ano,6.1,7.5,0.9,8.2
,M,2006-07-30,1º EM,8.3,3.6,3.5,3.7
Aline Melo,M,2006-08-20,7º Ano,2.5,1.5,8.9,3.5
Maria Costa,F,2012-12-23,3º EM,7.9,2.8,8.4,5.4
Felipe Silva,F,2006-12-27,3º EM,2.2,5.9,8.8,8.6
Lucas Lima,M,2008-08-21,9º Ano,1.8,2.5,8.7,7.3
Rodrigo Ribeiro,,2011-09-13,3º EM,1.6,8.0,2.8,8.3
Patricia Costa,M,2007-07-30,8º Ano,5.7,4.1,9.2,3.4
Lucas Silva,F,2013-09-22,6º Ano,,2.9,5.2,7.9
Felipe Gomes,M,2008-07-05,9º Ano,0.6,,8.6,5.3
Patricia Costa,M,2009-12-15,2º EM,5.8,9.0,6.3,8.2
Camila Carvalho,F,2010-07-28,6º Ano,8.1,9.1,0.4,1.8
Ana Ribeiro,F,2013-12-03,7º Ano,7.6,4.0,5.1,8.3
Ana Melo,F,2011-03-03,8º Ano,2.2,1.0,5.5,7.5
Gustavo Rocha,M,2005-12-04,8º Ano,8.3,8.6,7.3,3.7
